,active_since_days,duration_seconds,total_views,num_chars,num_words,num_punctuation,num_words_uppercase,num_words_lowercase,num_stopwords,avg_word_len,contain_digits,startswith_digits,title_sentiment
150,60,676,3566741,44,8,0,8,0,3,5.5,0,0,0.2142857142857142
151,60,3660,716281,82,16,3,0,2,6,5.125,0,0,0.3547619047619048
152,60,57,65371238,36,5,1,4,1,0,7.2,0,0,-0.6
153,60,802,316088,54,9,0,0,1,2,6.0,0,0,0.7000000000000001
154,60,567,2972554,67,12,1,6,0,4,5.583333333333333,0,0,0.2946428571428571
155,60,827,3868421,63,12,2,0,1,2,5.25,1,1,0.3666666666666667
156,60,1020,388459,48,8,3,0,0,1,6.0,1,0,0.4333333333333333
157,60,900,474198,23,4,0,4,0,0,5.75,0,0,0.0
158,60,900,498807,58,12,2,4,0,2,4.833333333333333,1,1,0.275
159,60,960,600793,53,10,4,1,1,1,5.3,1,0,0.5750000000000001
160,90,3600,2172611,56,10,3,4,1,1,5.6,1,1,0.6071428571428571
161,90,677,2111831,46,8,2,2,1,1,5.75,0,0,0.45
162,90,797,161470,75,13,2,0,0,5,5.769230769230769,0,0,0.0
163,90,614,802671,68,13,3,7,0,2,5.230769230769231,0,0,1.0
164,90,3840,5956789,58,10,0,10,0,4,5.8,0,0,0.675
165,90,496,12250722,73,13,2,4,1,2,5.615384615384615,0,0,0.2166666666666666
166,90,624,828683,58,10,1,5,0,3,5.8,0,0,0.3125
167,90,59,199331430,43,7,1,6,1,1,6.142857142857143,0,0,0.6071428571428571
168,90,1860,2258440,59,9,0,0,0,3,6.555555555555555,0,0,0.3
169,90,692,661621,66,11,3,5,0,2,6.0,0,0,0.5
170,90,675,382733,54,10,1,9,0,2,5.4,0,0,0.15
171,90,620,6852030,79,13,2,5,0,2,6.076923076923077,0,0,0.425
172,90,3600,2483956,67,12,2,3,7,5,5.583333333333333,0,0,0.7
173,90,781,1842003,50,11,0,11,0,4,4.545454545454546,0,0,0.5
174,90,611,1103334,61,11,2,6,0,2,5.545454545454546,0,0,0.5
175,90,732,721844,41,7,1,6,0,1,5.857142857142857,0,0,0.9
176,90,657,651773,43,6,0,6,0,1,7.166666666666667,0,0,0.4
177,90,778,1897665,39,7,0,7,0,2,5.571428571428571,0,0,0.5
178,90,677,1788860,44,6,1,3,0,0,7.333333333333333,0,0,0.0
179,90,59,3753090,37,7,2,6,1,2,5.285714285714286,0,0,0.125
180,90,804,389078,47,8,2,0,0,2,5.875,0,0,0.0
181,90,37,3255056,87,13,4,0,1,3,6.6923076923076925,0,0,0.675
182,90,654,308665,23,4,0,2,0,2,5.75,0,0,0.0
183,90,744,1647837,31,6,0,6,0,1,5.166666666666667,0,0,0.35
184,90,726,499343,60,11,1,10,0,3,5.454545454545454,0,0,0.0
185,90,735,1518468,56,10,2,3,0,2,5.6,0,0,-0.5
186,90,611,2214546,46,8,0,8,0,2,5.75,0,0,0.4
187,90,4080,18973535,52,9,2,3,0,1,5.777777777777778,0,0,0.7
188,90,763,730448,46,7,2,0,0,1,6.571428571428571,0,0,0.4071428571428571
189,90,602,2208559,61,11,2,7,0,2,5.545454545454546,0,0,0.65
190,90,767,771870,59,11,1,10,0,4,5.363636363636363,0,0,0.2142857142857142
191,90,719,1561702,52,8,2,7,0,1,6.5,0,0,0.1666666666666666
192,90,729,629277,79,14,4,6,0,5,5.642857142857143,0,0,0.5444444444444444
193,90,853,1292693,36,6,0,6,0,1,6.0,0,0,0.625
194,90,689,440877,81,15,4,5,0,2,5.4,1,0,0.125
195,90,3960,2805726,42,8,0,0,0,3,5.25,0,0,0.4333333333333333
196,120,712,904184,62,11,2,3,6,2,5.636363636363637,0,0,0.1753246753246753
197,120,745,885358,53,10,0,0,1,4,5.3,0,0,0.25
198,120,900,538096,60,12,2,8,2,2,5.0,0,0,0.3238095238095238
199,120,672,2184952,55,10,2,1,0,1,5.5,0,0,0.5158730158730159
200,120,3660,992954,22,4,1,3,0,0,5.5,1,1,0.0
201,120,571,2065298,33,6,0,6,0,2,5.5,0,0,0.2142857142857142
202,120,767,647419,64,11,2,6,0,2,5.818181818181818,0,0,0.625
203,120,600,12574620,58,10,2,3,1,2,5.8,0,0,0.4333333333333333
204,120,46,977705,60,12,5,1,0,2,5.0,0,0,-0.0666666666666666
205,120,690,975866,71,17,2,7,8,9,4.176470588235294,0,0,-0.35
206,120,818,611390,56,10,2,5,1,3,5.6,0,0,-0.25
207,120,682,753913,62,11,2,1,0,2,5.636363636363637,0,0,0.4041666666666667
208,120,613,901089,41,6,1,5,0,0,6.833333333333333,0,0,0.6000000000000001
209,120,593,884038,61,11,2,6,0,2,5.545454545454546,0,0,0.6000000000000001
210,120,616,998510,64,12,2,11,0,4,5.333333333333333,0,0,1.0
211,120,855,754425,68,10,2,0,0,0,6.8,0,0,0.25
212,120,772,1438314,68,11,2,0,0,2,6.181818181818182,0,0,0.338095238095238
213,120,794,2501711,61,10,2,0,0,3,6.1,0,0,0.6333333333333333
214,120,697,1844445,65,12,3,4,6,4,5.416666666666667,0,0,0.2625
215,120,3780,2735919,42,7,0,7,0,2,6.0,0,0,1.0
216,120,775,761309,54,10,1,0,1,2,5.4,0,0,0.9
217,120,718,3711279,46,8,1,0,5,1,5.75,0,0,0.4
218,120,768,619545,48,8,0,8,0,2,6.0,0,0,0.0
219,120,796,363510,84,15,3,9,5,3,5.6,0,0,0.3333333333333333
220,120,606,4916585,77,15,3,3,3,5,5.133333333333334,0,0,0.4
221,120,662,6759425,43,8,0,0,6,2,5.375,1,1,1.0
222,120,3720,5363554,78,13,2,6,1,3,6.0,0,0,0.3071428571428571
223,120,1980,2151276,33,7,1,6,0,0,4.714285714285714,1,0,0.4
224,120,746,977014,65,13,2,3,7,4,5.0,1,1,-9.251858538542969e-18
225,120,656,1510619,54,10,3,8,0,1,5.4,0,0,0.5
226,150,637,1844783,57,11,3,6,0,0,5.181818181818182,0,0,0.3916666666666666
227,150,709,507546,34,6,0,6,0,2,5.666666666666667,0,0,0.6000000000000001
228,150,640,561917,68,15,0,9,1,7,4.533333333333333,1,0,0.0541666666666666
229,150,677,1295808,55,10,3,8,0,1,5.5,0,0,0.4333333333333333
230,150,3720,11450677,39,8,2,6,0,1,4.875,1,1,0.3666666666666667
231,150,588,745115,92,16,4,4,7,3,5.75,0,0,0.3125
232,150,894,1150893,53,9,1,8,0,3,5.888888888888889,0,0,0.2625
233,150,763,1694435,61,9,2,5,0,1,6.777777777777778,0,0,-0.1333333333333333
234,150,881,1912241,55,10,2,5,0,1,5.5,0,0,0.0
235,150,616,957820,84,16,2,3,2,1,5.25,0,0,0.19
236,150,3660,2046970,46,7,2,6,0,0,6.571428571428571,0,0,0.2142857142857142
237,150,768,518977,63,10,2,9,0,1,6.3,0,0,0.1999999999999999
238,150,619,1167076,61,11,2,0,4,3,5.545454545454546,0,0,0.9
239,150,740,6195648,63,11,3,4,0,2,5.727272727272728,0,0,0.3
240,5,900,178849,64,10,2,4,0,3,6.4,0,0,0.25
241,120,692,436348,63,11,0,4,2,4,5.727272727272728,0,0,0.325
242,120,1020,766494,68,11,0,3,1,2,6.181818181818182,0,0,0.6000000000000001
243,120,669,1952462,78,13,2,0,6,3,6.0,1,0,0.4071428571428572
244,120,3600,16531172,51,9,2,4,1,1,5.666666666666667,0,0,0.6071428571428571
245,120,678,637458,54,10,1,5,3,4,5.4,0,0,-0.6
246,120,35,5653299,37,8,2,5,0,1,4.625,0,0,-0.5
247,120,1020,371416,63,11,2,5,4,3,5.727272727272728,0,0,1.0
248,120,655,556151,52,9,0,9,0,2,5.777777777777778,0,0,0.4
249,120,706,4020306,60,13,1,7,1,6,4.615384615384615,0,0,0.1075396825396825
250,120,1320,540746,81,15,4,1,4,4,5.4,0,0,-0.375
251,120,632,302901,38,6,0,6,0,1,6.333333333333333,0,0,0.1
252,120,3600,8142295,47,11,3,9,0,5,4.2727272727272725,1,1,-0.2916666666666667
253,120,705,1560209,43,8,2,4,0,4,5.375,0,0,0.0
254,120,712,416795,61,13,3,6,2,3,4.6923076923076925,0,0,0.5
255,120,55,4268741,38,8,1,4,3,3,4.75,0,0,0.5
256,120,635,1272963,49,9,1,7,1,2,5.444444444444445,0,0,0.3249999999999999
257,120,667,563922,96,19,6,1,4,5,5.052631578947368,1,0,0.625
258,120,662,394669,43,7,0,7,0,2,6.142857142857143,0,0,1.0
259,120,512,143593,72,14,2,0,6,5,5.142857142857143,1,1,0.513888888888889
260,120,693,1306271,54,11,2,10,0,2,4.909090909090909,0,0,0.0
261,120,3600,747566,62,10,1,10,0,2,6.2,1,0,0.4
262,120,960,1987827,46,7,0,7,0,1,6.571428571428571,0,0,0.4
263,120,714,356680,83,18,2,4,7,8,4.611111111111111,0,0,0.35
264,120,640,15945784,58,12,1,2,0,2,4.833333333333333,1,0,0.2431818181818181
265,120,690,6674922,46,8,0,0,0,1,5.75,0,0,0.1071428571428571
266,120,759,682569,64,15,1,6,1,4,4.266666666666667,1,0,0.3
267,120,771,476024,73,11,2,0,5,2,6.636363636363637,0,0,0.4166666666666667
268,120,547,348665,52,11,2,2,0,4,4.727272727272728,1,1,0.0
269,120,645,1411508,92,16,2,3,3,6,5.75,0,0,0.4285714285714286
270,120,640,1707027,37,7,0,6,0,1,5.285714285714286,1,1,0.35
271,150,3720,21377363,53,8,1,8,0,2,6.625,1,0,0.2142857142857142
272,150,604,2969346,51,12,1,5,6,4,4.25,1,0,0.1363636363636363
273,150,756,705345,83,13,1,1,1,1,6.384615384615385,0,0,0.25
274,150,663,633910,71,14,2,3,0,4,5.071428571428571,1,0,0.0
275,150,554,1513080,62,11,2,4,0,1,5.636363636363637,0,0,-0.0333333333333333
276,150,775,665999,84,18,3,6,4,8,4.666666666666667,1,0,0.3
277,150,609,1854616,86,17,4,6,2,2,5.0588235294117645,1,0,0.3
278,150,466,409340,77,13,2,0,0,2,5.923076923076923,0,0,0.4333333333333333
279,150,14880,424342,50,7,2,2,0,0,7.142857142857143,0,0,0.3522727272727273
280,150,521,180579,73,13,3,0,3,4,5.615384615384615,1,1,0.625
281,150,689,720650,62,13,2,6,3,4,4.769230769230769,1,1,0.0
282,150,639,7511359,86,14,3,5,0,3,6.142857142857143,1,0,0.2103174603174603
283,150,153,447814,30,6,1,0,5,1,5.0,0,0,0.0
284,150,55,9298082,58,10,1,3,1,4,5.8,0,0,0.0
285,150,616,1195444,68,13,2,3,0,3,5.230769230769231,1,1,0.4
286,150,55,28673222,36,6,1,1,3,0,6.0,0,0,0.5
287,150,554,282667,66,12,2,1,3,3,5.5,0,0,0.0
288,150,56,6973099,27,5,1,0,1,0,5.4,0,0,0.375
289,150,603,2088949,55,10,2,3,0,1,5.5,1,0,-0.0249999999999999
290,150,48,10348764,46,7,1,0,3,1,6.571428571428571,0,0,-0.6
291,180,629,3019916,86,14,3,5,0,3,6.142857142857143,1,0,0.2103174603174603
292,180,51,2281650,27,5,1,0,2,2,5.4,0,0,0.5
293,180,60,2461410,31,5,2,2,1,0,6.2,1,0,0.3625
294,180,56,17219265,35,5,1,0,2,1,7.0,0,0,1.0
295,180,585,1610886,43,8,1,3,0,2,5.375,1,1,0.0833333333333333
296,180,61,280875,53,9,3,3,0,2,5.888888888888889,1,1,0.0833333333333333
297,180,51,5734143,38,5,1,0,1,0,7.6,0,0,0.5
298,180,603,2613579,50,12,3,5,0,0,4.166666666666667,1,0,0.625
299,180,60,24618027,64,9,3,0,1,1,7.111111111111111,0,0,0.4333333333333333
300,180,611,2090669,76,14,2,6,6,2,5.428571428571429,1,0,0.5166666666666667
301,180,497,1395360,73,13,2,6,0,3,5.615384615384615,1,1,0.35
302,180,491,1540587,77,12,3,3,0,2,6.416666666666667,1,0,0.0
303,180,48,18241697,33,5,1,4,1,0,6.6,0,0,0.0
304,180,516,2529544,63,12,2,7,0,1,5.25,1,1,0.3571428571428571
305,180,488,2526191,55,11,0,4,7,4,5.0,0,0,-0.3
306,180,59,2451951,42,8,3,2,3,0,5.25,0,0,0.35
307,180,530,1499415,72,15,2,2,1,5,4.8,1,0,0.9
308,180,60,76836215,53,9,2,2,1,2,5.888888888888889,0,0,0.7166666666666667
309,180,499,4765896,77,14,1,4,0,3,5.5,1,1,0.35
310,210,501,2676349,73,16,2,4,10,6,4.5625,1,1,0.0
311,210,51,68219761,45,7,2,0,2,1,6.428571428571429,0,0,0.25
312,210,617,6691262,63,11,2,4,0,2,5.727272727272728,1,1,0.6000000000000001
313,210,60,13747532,49,7,1,1,3,2,7.0,0,0,0.0
314,210,510,2167116,65,12,2,10,0,3,5.416666666666667,1,1,0.0499999999999999
315,210,53,46415249,84,15,3,4,4,4,5.6,0,0,0.2142857142857142
316,210,491,4736319,79,15,4,5,0,2,5.266666666666667,1,0,0.0444444444444444
317,210,52,18118068,36,8,1,1,6,3,4.5,0,0,0.0
318,210,491,1775052,71,13,2,6,1,3,5.461538461538462,1,1,0.35
319,210,511,3525336,86,15,4,4,1,3,5.733333333333333,0,0,1.0
320,210,491,2446298,71,12,2,3,1,1,5.916666666666667,1,1,0.4333333333333333
321,210,7080,2124054,100,18,3,6,1,4,5.555555555555555,1,1,0.3238095238095238
322,210,48,22900321,75,13,3,5,1,1,5.769230769230769,0,0,-0.0999999999999999
323,210,57,25236685,58,10,3,5,1,2,5.8,0,0,0.5
324,210,605,16465615,77,14,2,4,7,3,5.5,1,1,0.3
325,210,60,83554255,48,9,3,2,2,1,5.333333333333333,0,0,0.1
326,240,56,37060430,57,9,2,3,2,2,6.333333333333333,0,0,0.5833333333333334
327,240,599,2222749,62,12,2,2,0,2,5.166666666666667,1,1,0.6875
328,240,54,16480396,37,6,1,5,1,1,6.166666666666667,0,0,0.35
329,240,654,5059554,52,10,2,2,1,1,5.2,1,0,0.25
330,240,608,22878898,52,12,1,5,0,3,4.333333333333333,1,1,0.35
331,240,637,4479656,49,10,0,4,0,3,4.9,1,1,0.35
332,240,637,34023529,86,16,2,2,2,6,5.375,1,1,0.4
333,240,613,3669609,67,12,1,0,11,6,5.583333333333333,0,0,0.0
334,240,616,14251708,38,7,0,6,0,1,5.428571428571429,1,1,0.2142857142857142
335,240,715,4257211,60,10,2,3,0,1,6.0,0,0,0.625
336,240,685,7152809,72,15,2,4,1,3,4.8,1,1,0.675
337,240,52,90665298,40,6,1,5,1,1,6.666666666666667,0,0,0.2142857142857142
338,240,709,2970927,59,12,2,5,1,3,4.916666666666667,0,0,0.35
339,270,671,12571912,52,9,2,4,0,0,5.777777777777778,1,1,0.625
340,270,674,12547981,87,19,1,9,0,7,4.578947368421052,1,0,0.0
341,270,727,3828431,82,11,3,2,0,2,7.454545454545454,0,0,0.225
342,270,495,860735,40,9,0,7,0,3,4.444444444444445,1,0,0.175
343,270,640,2719855,72,13,2,4,2,3,5.538461538461538,1,1,-0.0172619047619047
344,270,604,898524,63,12,2,10,0,2,5.25,1,1,0.5916666666666668
345,270,599,9995031,94,19,1,18,0,9,4.947368421052632,1,0,-0.6
346,270,673,2101333,83,15,1,14,0,3,5.533333333333333,0,0,0.0562499999999999
347,270,601,1079912,96,17,3,15,0,4,5.647058823529412,1,1,-0.1875
348,270,619,738586,79,14,3,4,2,2,5.642857142857143,0,0,0.3
349,270,603,18937827,50,12,2,4,0,2,4.166666666666667,1,1,0.35
350,270,569,521318,49,11,2,9,0,3,4.454545454545454,1,1,0.3625
351,300,627,988545,62,11,2,10,0,3,5.636363636363637,0,0,0.625
352,300,602,1910160,93,16,2,6,1,3,5.8125,0,0,0.35
353,300,697,4121358,75,12,3,6,0,2,6.25,1,0,0.6071428571428571
354,300,701,9458370,44,10,1,3,4,2,4.4,1,0,0.125
355,300,608,13807680,49,8,0,8,0,2,6.125,0,0,-0.1875
356,300,625,19211960,99,20,4,3,2,7,4.95,1,0,-0.6
357,300,672,1953508,45,7,2,4,1,0,6.428571428571429,0,0,0.5
358,300,607,1916636,92,19,3,10,0,7,4.842105263157895,1,1,0.0
359,300,648,5909695,65,13,3,11,0,3,5.0,1,0,0.33125
360,330,631,6422599,90,14,1,2,4,5,6.428571428571429,0,0,0.7166666666666667
